2020-05-17 19:06:20 [Thread-15] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=15, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=50} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:06:21 [Thread-15] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=15, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=0} was unloaded on terminal with id 1
2020-05-17 19:06:21 [Thread-15] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=8, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=40}, Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}]
2020-05-17 19:06:21 [Thread-15] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=15, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=0} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:06:21 [Thread-8] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=8, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=40} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:06:22 [Thread-8] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=8, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=0} was unloaded on terminal with id 1
2020-05-17 19:06:22 [Thread-8] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}]
2020-05-17 19:06:22 [Thread-8] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=8, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=0} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:06:22 [Thread-19] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:06:22 [Thread-19] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:06:22 [Thread-19] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}]
