2020-05-17 19:02:17 [Thread-22] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:19 [Thread-22] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
2020-05-17 19:02:19 [Thread-22] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:19 [Thread-22] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:19 [Thread-23] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:19 [Thread-23] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:02:19 [Thread-23] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:19 [Thread-23] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:19 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:21 [Thread-4] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
2020-05-17 19:02:21 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:21 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:21 [Thread-10] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:23 [Thread-10] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
2020-05-17 19:02:23 [Thread-10] INFO  by.prokhorenko.threads.entity.LogisticBase - []
2020-05-17 19:02:23 [Thread-10] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:03:32 [main] INFO  prokhorenko.threads.reader.impl.FileReader - Lines were read
2020-05-17 19:03:32 [Thread-1] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=1, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:03:32 [Thread-2] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=2, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=40} stays in the queue
2020-05-17 19:03:33 [Thread-3] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=3, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=50} stays in the queue
2020-05-17 19:03:33 [Thread-2] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=2, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=40} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:03:33 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:03:33 [Thread-3] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=3, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=50} got terminal Terminal{isBusy=true, id=2}
2020-05-17 19:03:33 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:03:33 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=3}
2020-05-17 19:03:33 [Thread-6] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=6, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=30} stays in the queue
2020-05-17 19:03:33 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=4}
